,number,ca,name,material,location,culture,time,img
0,201,9,Female deity,wood,"Nukuoro,  Micronesia",Nukuoro,1800 CE,https://cdn.kastatic.org/googleusercontent/wYFKwf1YQYh_JvhQL5yhECT7cBCr-TdBwKvZX0OEPedctCXfDazgykY0zMmRbFZaYFqOgH8a9Ogk7L4tHoW9FYX2
1,202,4,"Y no hai remedio, from Los Desastres de la Guerra, Francisco de Goya","etching, drypoint, burin, and burnishing",Spain,Spanish Romanticism,1810 CE,https://upload.wikimedia.org/wikipedia/commons/a/af/Prado_-_Los_Desastres_de_la_Guerra_-_No._15_-_Y_no_hai_remedio.jpg
2,203,0,"The Third of May, 1808, Goya",oil on canvas,Spain,Spanish Romanticism,1814 CE ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg/400px-El_Tres_de_Mayo%2C_by_Francisco_de_Goya%2C_from_Prado_thin_black_margin.jpg
3,204,4,"La Grande Odalisque,Jean-Auguste-Dominique Ingres",oil on canvas,Italy,Italian Romanticism,1814 CE,https://upload.wikimedia.org/wikipedia/commons/8/81/800px-Jean_Auguste_Dominique_Ingres%2C_La_Grande_Odalisque%2C_1814.jpg
4,205,0,"Raft of the Medusa, Gericault",oil on canvas,France,French Romanticism,1818 CE,https://smarthistory.org/wp-content/uploads/2020/05/33797630784_00ce9a131b_4k-1-scaled.jpg
5,206,4,"Liberty Leading the People, Eugene Delacroix",oil on canvas,France,French Romanticism,1830 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg/1200px-Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg
6,207,8,"Under the Wave off Kanagawa, from the series Thirty-six Views of Mount Fuji, Katsushika Hokusai",polychrome woodblock print; ink and color on paper,Japan,,1830 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/45434/134438/main-image
7,208,4,"The Oxbow, Thomas Cole",oil on canvas,United States,Amerian Romanticism,1836 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/10497/1655152/main-image
8,209,0,"View from the Window of La Gras, Niepce","camera obscura, light sensitive coating on a metal plate",France,,1826 CE,https://upload.wikimedia.org/wikipedia/commons/0/0e/View_from_the_Window_at_Le_Gras%2C_Joseph_Nic%C3%A9phore_Ni%C3%A9pce%2C_uncompressed_UMN_source.png
9,210,4,"Still Life in Studio, Louis-Jaques-Mande Daguerre",daguerreotype,France,,1837 CE,https://cdn.kastatic.org/ka-perseus-images/c398edd53b54de9864d69db9ae576fed5c7f70b2.jpg
10,211,4,"The Slave Ship, Joseph Mallord William Turner",oil on canvas,England,English Romanticism,1840 CE,https://upload.wikimedia.org/wikipedia/commons/2/26/Slave-ship.jpg
11,212,4,"Palace of Westminster, Charles Barry and Augustus W. N. Pugin",limestone masonry and glass,"London, England",Neo-Gothic,1840 CE,https://cdn.kastatic.org/googleusercontent/AWiVKQAqvl0mFb6ZRAsFng6aianwLIMWZhbbFLEAuNVKi1cURjvtxhLgYq4_5X5fDKpAV-rE04OpsrUZdudXlw2y
12,213,4,"The Stone Breakers, Gustave Courbet",oil on canvas,France,French Realism,1849 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Gustave_Courbet_-_The_Stonebreakers_-_WGA05457.jpg/1200px-Gustave_Courbet_-_The_Stonebreakers_-_WGA05457.jpg
13,214,5,Bandolier bag,beadwork on leather, Eastern Woodlands,"Lenape peoples, Deleware tribe",1850 CE,https://cdn.kastatic.org/ka-perseus-images/1d6933c0f66fe02dbc29473dab9677a553e9aa7f.png
14,215,9,Buk mask,"turtle shell, wood, fiber, feathers, and shell",Torres Strait,Pacific,1850 CE,https://images.metmuseum.org/CRDImages/ao/original/DP148295.jpg
15,216,9,Hiapo,"tapa or bark cloth, freehand painting",Niue.,Pacific,1850 CE,https://ka-perseus-images.s3.amazonaws.com/1515031db57016b6a834d8de2862b6d5f24de78c.jpg
16,217,4,"Nadar Raising Photography to the Height of Art, Honore Daumier",lithograph,France,,1862 CE,https://cdn.kastatic.org/ka-perseus-images/61c9285b557d176764c62b28210126805a63473a.jpg
17,218,0,"A Harvest of Death, O'Sullivan",albumen print,United States,,1863 CE,https://images.metmuseum.org/CRDImages/ph/original/DP274823.jpg
18,219,0,"Luncheon on the Grass, Manet",oil on canvas,France,French Impressionism,1863 CE,https://collection.cdn-pictorem.com/collection/Luncheon%20on%20The%20Grass%201863%20by%20Manet.jpg
19,220,4,"Olympia, Edouard Manet",oil on canvas,France,French Impressionism,1863 CE,https://mir-s3-cdn-cf.behance.net/project_modules/fs/59a4257279731.5628b5be7f551.jpg
20,221,4,"The Saint-Lazare Station, Claude Monet",oil on canvas,France,French Impressionism,1877 CE,https://cdn.kastatic.org/ka-perseus-images/dbbb7009f6c7a84b1e2a4d5903fd48b054585ca5.jpg
21,222,4,"The Horse in Motion, Eadweard Muybridge",albumen print,United States,,1878 CE,https://smarthistory.org/wp-content/uploads/2021/06/mubridge-scaled-2-scaled.jpg
22,223,4,"The Valley of Mexico from the Hillside of Santa Isabel, Jose Maria Velasco",oil on canvas,Mexico,,1882 CE,https://cdn.kastatic.org/googleusercontent/hfxo2QrBZCcnh-lekqXAIM0fC6jG3BFHGJGv9NK-3pXmeRjlnQZMCZXGKtfip0EYARJYzwyD3-NaisjmgqqU7e8
23,224,0,"A Sunday on la Grande Jatte, Seurat",oil on canvas,France,French Impressionism,1884 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/A_Sunday_on_La_Grande_Jatte%2C_Georges_Seurat%2C_1884.jpg/1200px-A_Sunday_on_La_Grande_Jatte%2C_Georges_Seurat%2C_1884.jpg
24,225,4,"The Burghers of Calais,Auguste Rodin",bronze,France,French Impressionism,1884 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/207812/481921/main-image
25,226,4,"The Starry Night, Vincent Van Gogh",oil on canvas,France,French Impressionism,1889 CE,https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/starry-night-print-by-vincent-van-gogh-vincent-van-gogh.jpg
26,227,5,Transformation Mask,"wood, paint, and string",Northwest coast of Canada,,1890 CE,https://cdn.kastatic.org/ka-perseus-images/97877875c8f04c7ff74dfbee6a12eb8cf3232b3c.jpg
27,228,5,"Painted elk hide, Cotsiogo",painted elk hide,"Wind River Reservation, Wyoming",Eastern Shoshone,1890 CE,https://cdn.kastatic.org/ka-perseus-images/cf0f27673b75b8e18189483b48915a9d85236ad4.jpg
28,229,9,"Tamati Waka Nene, Gottfried Lindauer",oil on canvas,New Zealand,,1890 CE,https://cdn.kastatic.org/ka-perseus-images/8791896d44af5836e04b529436f7d4ae8abf3522.jpg
29,230,4,"The Coiffure, Mary Cassatt",drypoint and aquatint,France,French Impressionism,1890 CE,https://render.fineartamerica.com/images/rendered/small/print/images-square-real-5/1-mary-cassatt-the-coiffure-american-1844-1926-litz-collection.jpg
30,231,6,Power Figure,wood and metal,Democratic Republic of the Congo,Kongo peoples,1890 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/320053/1467605/main-image
31,232,4,"The Scream, Edvard Munch",tempera and pastels on cardboard,Germany,German Expressionism,1893 CE,https://media.npr.org/assets/img/2012/04/30/scream_custom-9ef574d2014bd441879317ecf242ad060e34e743-s1100-c50.jpg
32,233,4,Where Do We Come From? What Are We? Where Are We Going? Paul  Gauguin,oil on canvas,Tahiti,French Post-Impressionism,1897 CE,https://cdn.kastatic.org/ka-perseus-images/e589dcc716b49fa3107a230f81a3147a9dd1a43e.jpg
33,234,4,"Carson, Pirie, Scott and Company Building, Louis Sullivan","iron, steel, glass, and terra cotta","Chicago, Illinois, United States",American Modernism,1899 CE,https://cdn.kastatic.org/ka-perseus-images/3e0a57269b01177eaf824068b467cde176c229af.jpg
34,235,6,Female pwo mask,"wood, fiber, pigment, and metal",Democratic Republic of the Congo,Chokwe peoples,1900 CE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/319264/667158/restricted
