aalib 1.4rc5-14
acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
android-studio 3.6.3.0-1
aom 1.0.0.errata1+avif-1
archlinux-keyring 20200422-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.016-1
bind-tools 9.16.3-1
binutils 2.34-5
binwalk 2.2.0-2
bison 3.6.2-1
bluez 5.54-2
bluez-hid2hci 5.54-2
bluez-libs 5.54-2
bluez-utils 5.54-2
boost-libs 1.72.0-2
brotli 1.0.7-3
burpsuite 2020.4-1
byzanz 0.3.0.1-4
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.52.1-2
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cantarell-fonts 1:0.201-1
capstone 4.0.2-1
cdparanoia 10.2-8
chromium 83.0.4103.61-1
cifs-utils 6.10-1
code 1.45.1-1
colord 1.4.4+9+g1ce26da-2
confuse 3.2.2-1
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.2-2
curl 7.70.0-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-2
dconf 0.36.0-1
deepin-qt-dbus-factory 5.1.0.1-1
deepin-qt5dxcb-plugin 5.0.11-1
deepin-qt5integration 5.1.0.1-2
deepin-screen-recorder 5.8.0.11-1
deepin-turbo 0.0.3-1
deluge 2.0.4.dev23+g2f1c008a2-3
desktop-file-utils 0.24-2
device-mapper 2.02.187-2
diffutils 3.7-3
discord 0.0.10-3
dkms 2.8.1-2
dmenu 4.9-1
dnssec-anchors 20190629-2
dosfstools 4.1-3
double-conversion 3.1.5-2
dtkcore 1:5.2.0-2
dtkgui 5.2.0-1
dtkwidget 5.2.0-1
e2fsprogs 1.45.6-2
efibootmgr 17-1
efivar 37-3
electron7 7.1.14-5
elfutils 0.179-1
exiv2 0.27.2-2
expat 2.2.9-3
fakeroot 1.24-2
fcrackzip 1.0-5
feh 3.4-1
ffmpeg 1:4.2.2-8
fftw 3.3.8-3
file 5.38-3
filesystem 2020.05.07-1
findutils 4.7.0-2
firefox-esr 68.7.0-1
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
freetype2 2.10.2-1
fribidi 1.0.9-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gconf 3.2.6+11+g07808097-6
gd 2.3.0-1
gdb 9.1-4
gdb-common 9.1-4
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
geoip 1.6.12-2
geoip-database 20200507-2
gettext 0.20.2-1
giflib 5.2.1-2
girara 0.3.4-2
git 2.26.2-1
glib-networking 2.64.2-1
glib2 2.64.3-1
glibc 2.31-4
glslang 8.13.3743-1
gmp 6.2.0-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnupg 2.2.20-1
gnutls 3.6.13-2
go 2:1.14.3-1
gobject-introspection-runtime 1.64.1-2
gpgme 1.13.1-5
gpm 1.20.7.r27.g1fd1941-2
graphene 1.10.0-2
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gsettings-desktop-schemas 3.36.1-1
gsettings-qt 0.1.20170110-2
gsl 2.6-2
gsm 1.0.19-1
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gst-plugins-good 1.16.2-3
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.20-1
gtk2 2.24.32-2
gtk3 1:3.24.20-1
guile 2.2.6-2
guile2.0 2.0.14-4
gzip 1.10-3
harfbuzz 2.6.6-1
harfbuzz-icu 2.6.6-1
hexedit 1.4.2-2
hicolor-icon-theme 0.17-2
http-parser 2.9.4-1
hwids 20200306-1
hwloc 2.2.0-1
i3-gaps 4.18.1-2
i3blocks 1.5-3
i3lock-color 2.12.c.1-1
i3status 2.13-2
iana-etc 20200511-1
ibus 1.5.22+8+gf591381e-1
icu 67.1-1
imlib2 1.6.1-2
inetutils 1.9.4-8
iproute2 5.6.0-1
iptables 1:1.8.4-1
iputils 20190709-2
irssi 1.2.2-2
iso-codes 4.4-2
iw 5.4-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.16-2
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.18-1
jdk-openjdk 13.0.2.u8-1
john 1.9.0.jumbo1-2
