,number,ca,name,material,location,culture,time,img
0,1,0,Venus of Willendorf,limestone,"Willendorf, Austria",Prehistoric,28000 BCE,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Venus_of_Willendorf_-_All_sides.jpg/400px-Venus_of_Willendorf_-_All_sides.jpg
1,2,1,Apollo 11 Stones,charcoal on stone,"Namibia, Africa",Prehistoric,25500 BCE,https://cdn.kastatic.org/ka-perseus-images/5ddc7405f9523b03f2197fc40c8d363e1ffc58f7.jpg
2,3,1,Great Hall of the Bulls,rock painting,"Lascaux, France",Paleolithic Europe,15000 BCE,https://smarthistory.org/wp-content/uploads/2021/09/lascaux-II.jpg
3,4,1,Camelid sacrum in the shape of a canine,bone,"Tequixquiac, Central Mexico",Neolithic Americas,7000 BCE,https://sites.google.com/site/adairarthistory/i-global-prehistory/3-camelid-sacrum-in-the-shape-of-a-canine/4bb0f7_229af600c2d04759b9a1d9f33763b855.jpg?attredirects=0
4,5,1,Running horned woman,pigment on rock,"Tassili n'Ajjer, Algeria",Neolithic Africa,6000 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1473695051997/i-global-prehistory/4-running-horned-woman/aee1a8776d990715b1d9fc83178da983e5a34e85.jpg
5,6,1,Beaker with ibex motifs,painted terra cotta,"Susa, Iran",Susa I period,4200 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1473695203139/i-global-prehistory/5-bushel-with-ibex-motifs/louvre-boisseau-decor-animalier-bouquetins.jpg
6,7,2,"White temple and its ziggurat, Uruk",mud brick,"Uruk, modern Iraq  ",Sumerian,3500 BCE,https://cdn.kastatic.org/ka-perseus-images/ae381cd2defdd955a5284dd0c7a8b8bf66150822.jpg
7,8,1,Jade cong,carved jade,"Liangzhu, China",Liangzhu people,3300 BCE,https://cdn.kastatic.org/ka-perseus-images/9a9d7467288fbf31c798f9549da6e977e4e0a6aa.jpg
8,9,1,Anthropomorphic stele,sandstone,Arabian Peninsula,Nabatean people,3000 BCE,https://cdn.kastatic.org/ka-perseus-images/b8734808cf6f6f01bf684ac4523997fec0a64aac.jpg
9,10,2,Palette of King Narmer,greywacke,"Hierakonpolis, Egypt",Predynastic Egypt,3000 BCE,https://cdn.kastatic.org/ka-perseus-images/0cbda693baff5da3d96c79bcd50c934502b05894.jpeg
10,11,2,"Statues of votive figures, Square temple of Eshnanna",gypsum inlaid with shell and black limestone,"Eshnunna, modern Iraq ",Sumerian,2700 BCE ,https://sites.google.com/site/adairarthistory/_/rsrc/1543606870743/ii-ancient-mediterranean/14-statues-of-votive-figures-from-the-square-temple-at-eshnunna/download.jpg
11,12,0,Bull-headed lyre,"wood with inlaid gold, lapis lazuli, and shell",Iraq,Sumerian,2600 BCE,https://upload.wikimedia.org/wikipedia/commons/a/aa/Bull_Headed_Lyre_of_Ur.jpg
12,13,2,Seated Scribe,painted limestone,"Saqqara, Egpyt  ","Old Kingdom, Fourth Dynasty",2600 BCE,https://images.squarespace-cdn.com/content/v1/547abd24e4b0780d55c0bb4a/1476378806864-LK9V4I7U2LKAOTZ7A8ZM/image-asset.jpeg?format=1000w
13,14,2,Standard of Ur from the Royal Tombs at Ur,"wood inlaid with shell, lapis lazuli, and red limestone","Ur, modern Iraq",Sumerian,2600 BCE,https://smarthistory.org/wp-content/uploads/2021/01/StandardOfUrPeace-1.jpg
14,15,2,Great Pyramids and Great Sphinx,cut limestone,"Giza, Egypt  ","Old Kingdom, Fourth Dynasty",2550 BCE,https://cdn.britannica.com/26/171026-050-11CE446C/Great-Sphinx-of-Giza-pyramid-background-Khafre.jpg
15,16,0,"Cycladic Figures, Female and lyre player",marble,"Cycladic Islands, Greece",Cycladic,2500 BCE,https://images.metmuseum.org/CRDImages/gr/original/DP256380.jpg
16,17,2,King Menkaura and Queen,greywacke,"Giza, Egypt  ","Old Kingdom, Fourth Dynasty",2490 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1487617322699/ii-ancient-mediterranean/18-king-menkaura-and-queen/Screen%20Shot%202017-02-20%20at%202.00.33%20PM.png
17,18,0,Victory Stele of Naram-Sin,pink sandstone,Iran,Akkadian,2254 BCE,https://upload.wikimedia.org/wikipedia/commons/d/d8/Victory_stele_of_Naram_Sin_9068.jpg
18,19,2,The Code of Hammurabi,basalt,"Babylon, modern Iran","Babylonian, Susian",1792 BCE,https://www.history.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_768/MTU3ODc5MDgzNzUxNjQ2OTQz/diorite-stela-with-the-code-of-hammurabi-2.jpg
19,20,0,"Palace at Knossos, Torreador Fresco",fresco,"Crete, Greece",Minoan,1700 BCE,https://cdn.kastatic.org/ka-perseus-images/125a4cd9af9a117378c7e2cfc92dd5e23e70f782.jpg
20,21,0,Octapus vase,Kamares ware jug,"Mycenae, Greece",Minoan,1500 BCE,https://smarthistory.org/wp-content/uploads/2018/08/Octopus-vase-whole-1.jpg
21,22,0,Harvester's vase,"steatite, originally with gold leaf","Hagia Triada, Crete",Minoan,1500 BCE,https://smarthistory.org/wp-content/uploads/2018/08/Harvester_Vase_steatite_Agia_Triada_1450_BC_AMH_145137-EDITED.jpg
22,23,2,Stonehenge,sandstone,"Wiltshire, United Kingdom.", Neolithic Europe ,1500 BCE,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTYyNzgwNDg4MzQyMTg1ODI1/topic-stonehenge-gettyimages-682586546.jpg
23,24,1,The Ambum Stone,greywacke,"Ambum Valley, Enga Province, Papua New Guinea",,1500 BCE,https://cdn.kastatic.org/ka-perseus-images/b1bb8e7f9171c1b086cf33ee4a959d0db5d0b6d7.jpg
24,25,2,Mortuary temple of Hatshepsut,"sandstone, partially carved into a rock cliff, and red granite","Near Luxor, Egypt","New Kingdom, Eighteenth Dynasty",1473 BCE,https://upload.wikimedia.org/wikipedia/commons/9/94/Hatshetsup-temple-1by7.jpg
25,26,0,"Fowling scene, Musicians and Dancers, tomb of Nebamun",fresco on dry plaster,"Thebes, Egypt","New Kingdom, Eighteenth Dynasty",1400 BCE,https://smarthistory.org/wp-content/uploads/2022/01/244330001.jpg
26,27,0,"Akhenaton, Nefertiti Portrait","sandstone, painted limestone","Amarna, Egypt","Amarna. New Kingdom, Eighteenth Dynasty",1635 BCE,https://sites.google.com/site/adairarthistory/ii-ancient-mediterranean/22-akhenaton-nefertiti-and-three-daughters/akhenaten_nefertiti_and_three_daughters1326170953657.jpg?attredirects=0
27,28,2,"Akhenaton, Nefertiti and three daughters",limestone,"Amarna, Egypt ","Amarna. New Kingdom, Eighteenth Dynasty",1353 BCE,https://www.worldhistory.org/uploads/images/11106.jpg?v=1617968701
28,29,2,"Tutankhamun's tomb, innermost coffin",gold with inlay of enamel and semiprecious stones,"Luxor, Egypt","New Kingdom, Eighteenth Dynasty",1323 BCE,https://cdn.kastatic.org/ka-perseus-images/22e75ac3814bfb2f1a9f2ca762830bbed30fd4eb.jpg
29,30,2,Last Judgment of Hu-Nefer,painted papyrus scroll,"Thebes, Egypt","New Kingdom, Eighteenth Dynasty",1275 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1475519174765/ii-ancient-mediterranean/24-last-judgment-of-hu-nefer-book-of-the-dead/BD_Hunefer.jpg
30,31,2,Temple of Ramses II,sandstone,"Nubia, Egypt","New Kingdom, Ninteenth Dynasty",1290 BCE,https://cdn.britannica.com/49/189749-050-EDADDEC0/Great-Temple-of-Ramses-II-temples-larger.jpg
31,32,2,Temple of Amun-Re and Hypostyle Hall,cut sandstone and mud brick,"Karnak, Egypt","New Kingdom, Eighteenth and Nineteenth Dynasties",1250 BCE,https://cdn.kastatic.org/ka-perseus-images/6b330952fedc9db87a641f9414b1164ed42a13b5.jpg
32,33,1,Tlatilco female figurine,ceramic,Central Mexico,Tlatilco people,1200 BCE,https://cdn.kastatic.org/ka-perseus-images/046f0f0265f008017f3025b68e061d6245a34880.jpg
33,34,1,Terra cotta fragment,terra cotta (incised),"Solomon islands, Reef Islands",Lapita people,1000 BCE,https://cdn.kastatic.org/googleusercontent/QJf_24AIFT4XBdF0NS0LQcySF5q_CFHAYM3FPp1p-5I_L1et-eoD-zB-ltzyGkXvv7lEdU0ugJCAv9f-4OhiDvI
34,35,5,Chavin de Huantar,stone (architecture); granite (Lanzon and sculpture); hammered gold alloy (jewelry),"Northern highlands, Peru",Chavin people,900 BCE,https://peru.info/Portals/0/Images/Productos/6/26-imagen-10634932018.jpg
35,36,0,Diplyon krater,ceramic,"Athens, Greece",Geometric Greek ,740 BCE,https://images.metmuseum.org/CRDImages/gr/original/DT258.jpg
36,37,2,Lamassu from the Citadel of Sargon II,alabaster,"Dur Sharrukin, Iraq",Neo-Assyrian,720 BCE,https://i.ytimg.com/vi/2GrvBLKaRSI/maxresdefault.jpg
